Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Bahrain,2019,7.098012447,10.72132397,0.877929449,65.90000153,0.906535506,0.044913679,,0.711386263,0.317106396,
Bahrain,2020,6.173175812,10.63298035,0.847745061,65.82499695,0.94523257,0.129093051,,0.729510307,0.296835452,
Bangladesh,2019,5.114216805,8.466684341,0.673172176,64.30000305,0.90193665,-0.051848229,0.656004608,0.432665378,0.36947155,0.887990832
Bangladesh,2020,5.279986858,8.491146088,0.739337921,64.42500305,0.777467191,-0.010609258,0.741659164,0.484559894,0.331708789,0.740008593
Belarus,2019,5.821453094,9.866782188,0.916740477,66,0.656933606,-0.188110471,0.545904756,0.558989465,0.189821407,0.460812598
Belgium,2019,6.772138119,10.85792446,0.884230494,70.59999847,0.776203632,-0.174472645,0.672497511,0.699042499,0.243630841,0.327901155
Belgium,2020,6.838760853,10.79384708,0.903558671,70.75,0.766917825,-0.168013766,0.633626759,0.619125485,0.260188788,0.294799596
Benin,2019,4.976360798,8.09782505,0.442153931,55.5,0.770359993,-0.016165027,0.698346972,0.638348281,0.44139877,0.690226018
Benin,2020,4.407745838,8.10866642,0.506636083,55.79999924,0.783114672,-0.083990186,0.531883657,0.556501985,0.304512441,0.806810319
Bolivia,2019,5.67427063,9.073887825,0.7843014,63.29999924,0.88131094,-0.086626269,0.857220411,0.700826466,0.419328213,0.300631315
Bolivia,2020,5.559258938,8.967653275,0.804810882,63.45000076,0.877031922,-0.052450921,0.868208289,0.728823423,0.381791174,0.168832317
Bosnia and Herzegovina,2019,6.01552248,9.608901024,0.873141944,67.19999695,0.72156322,0.077898346,0.96290803,0.544666409,0.238068551,0.167970508
Bosnia and Herzegovina,2020,5.515816212,9.582542419,0.898518682,67.25,0.740250826,0.136582226,0.916052163,0.601870954,0.325412303,0.244549632
Botswana,2019,3.471084833,9.701855659,0.773667216,53.90000153,0.832542658,-0.234602764,0.792079508,0.665049851,0.272721767,0.690069556
Brazil,2019,6.451148987,9.599938393,0.899175048,65.40000153,0.830206037,-0.063963488,0.761840582,0.701250315,0.337051332,0.340850085
Brazil,2020,6.109717846,9.551372528,0.830832124,65.57499695,0.786235094,-0.056306385,0.728772223,0.65329963,0.38913855,0.362292409
Bulgaria,2019,5.108438015,10.05474281,0.948204398,66.30000305,0.821929872,-0.110997088,0.942806482,0.576582789,0.199888319,0.268381834
Bulgaria,2020,5.597723007,10.01588249,0.916242361,66.40000153,0.818224788,-0.007958431,0.900632977,0.642387509,0.221351057,0.273983628
Burkina Faso,2019,4.740892887,7.685016155,0.683102369,54.90000153,0.677546859,-0.003277031,0.729396582,0.65623343,0.364775389,0.703626156
Burkina Faso,2020,4.639639854,7.675902843,0.667708993,55.27500153,0.750226498,0.122931212,0.808745325,0.604512036,0.388477534,0.703824639
Cambodia,2019,4.998284817,8.386811256,0.759175479,61.5,0.956799209,0.012915172,0.828444481,0.703703225,0.3895863,
Cambodia,2020,4.376985073,8.340829849,0.724422634,61.70000076,0.963075459,0.053671852,0.863053977,0.770770192,0.38985163,
Cameroon,2019,4.936737537,8.227604866,0.710964739,54.5,0.711500287,-0.009756331,0.817170262,0.606392264,0.326395005,0.546259165
Cameroon,2020,5.2410779,8.206968307,0.720046639,55.17499924,0.674509168,0.046819616,0.836517215,0.626284778,0.386478961,0.498690844
Canada,2019,7.1090765,10.79971313,0.925303996,71.30000305,0.911525607,0.109055623,0.436434418,0.780721545,0.284833759,0.549280941
Canada,2020,7.024904728,10.73422432,0.930610716,71.34999847,0.8868922,0.046791039,0.434012353,0.738485336,0.306673735,0.600424111
Chad,2019,4.250799179,7.364943504,0.640452087,52,0.537245691,0.055652164,0.832283497,0.556210697,0.460061282,0.571986496
Chile,2019,5.942250252,10.12533379,0.869121909,70,0.659176767,-0.106856108,0.860491574,0.740561962,0.337243795,0.152523443
Chile,2020,6.150642872,10.05726051,0.888412297,70.15000153,0.781383574,0.028466886,0.811818838,0.752884626,0.336028606,0.171463788
China,2019,5.144120216,9.678945541,0.821935892,68.5,0.927356243,-0.173936918,,0.7602669,0.146511838,
China,2020,5.771064758,9.699890137,0.80833447,68.625,0.891122997,-0.104620554,,0.662961006,0.244918227,
Colombia,2019,6.350297928,9.587769508,0.872578919,69,0.821500719,-0.172856137,0.853646159,0.790579498,0.321806282,0.327981085
Colombia,2020,5.70917511,9.506654739,0.797035217,69.17500305,0.840186119,-0.086797014,0.807964027,0.758542895,0.340158582,0.373634368
Comoros,2019,4.608616352,8.025783539,0.632012963,58.90000153,0.538261533,0.077808991,0.762232482,0.665162265,0.336162895,0.313734859
Congo (Brazzaville),2019,5.212622643,8.249497414,0.624768078,56.20000076,0.686451972,-0.056822121,0.74058944,0.594482303,0.40504083,0.541197777
Congo (Brazzaville),2020,5.079139233,8.141469002,0.596515119,56.52500153,0.760727525,-0.020143436,0.727796018,0.572090924,0.434675574,0.580636084
Costa Rica,2019,6.997618675,9.949298859,0.906077445,70,0.926830113,-0.152325004,0.835628331,0.791270852,0.303327233,0.283023864
Costa Rica,2020,6.338472366,9.898633003,0.834199548,70,0.889399767,-0.134908438,0.772164285,0.758924901,0.349548459,0.298230559
Croatia,2019,5.625743866,10.28657341,0.935988724,68.59999847,0.739300609,-0.141524747,0.931614637,0.503806353,0.269154519,0.286501437
Croatia,2020,6.507992268,10.20655823,0.922913492,68.77500153,0.836657643,-0.067890555,0.960939288,0.681406796,0.285609752,0.208485767
Cyprus,2019,6.136832714,10.6022892,0.776078045,72.40000153,0.740058005,-0.011269341,0.865294218,0.663419962,0.290225208,0.327287793
Cyprus,2020,6.259810448,10.53622627,0.805559397,72.59999847,0.762782335,-0.079155684,0.816231728,0.670835674,0.283522457,0.414389879
Czechia,2020,6.897091389,10.55865383,0.96405369,68.92500305,0.906422019,-0.13140285,0.883699596,0.748342454,0.290441692,0.318858981
Denmark,2019,7.693003178,10.95363903,0.957706392,71,0.963318408,0.017636368,0.174150586,0.796859503,0.181070626,0.632999003
Denmark,2020,7.514631271,10.92988586,0.947371364,71.125,0.937931836,0.048180155,0.213841751,0.752573669,0.227101892,0.715797603
Dominican Republic,2019,6.004237175,9.820806503,0.884089887,64,0.87740624,-0.124324948,0.745615363,0.747007906,0.26405412,0.408698589
Dominican Republic,2020,5.168409824,9.741146088,0.806117654,64.19999695,0.834642947,-0.125036806,0.636116564,0.723668039,0.313928306,0.633733928
Ecuador,2019,5.809131145,9.338787079,0.808485806,68.5,0.829573691,-0.116003864,0.839495003,0.750073195,0.373558193,0.208093628
Ecuador,2020,5.35446167,9.242730141,0.804008543,68.75,0.828511536,-0.158119455,0.854780495,0.754971027,0.416027963,0.225619465
Egypt,2019,4.327831745,9.372735977,0.772128642,63,0.773951054,-0.199941963,,0.420276582,0.312763393,
Egypt,2020,4.472396851,9.388607979,0.672725499,63.25,0.769550323,-0.114009015,,0.543451667,0.442033589,
El Salvador,2019,6.454820633,9.079789162,0.764390528,64.90000153,0.877390683,-0.109806202,0.68157649,0.826422155,0.271475047,0.717041671
El Salvador,2020,5.461926937,8.985022545,0.695624352,65.25,0.923944831,-0.12492907,0.583036363,0.810526609,0.329439789,0.803478181
Estonia,2019,6.034641266,10.5023222,0.934064329,69.19999695,0.886504352,-0.097410277,0.575754166,0.73842895,0.156279013,0.403306544
Estonia,2020,6.452563763,10.46923733,0.957770467,69.42500305,0.954200566,-0.085300229,0.397834778,0.761690438,0.187679499,0.46480599
Eswatini,2019,4.396114826,9.065652847,0.759097695,51.02541351,0.596682429,-0.191392645,0.723507762,0.725604951,0.279595166,0.682605982
Ethiopia,2019,4.099555016,7.705894947,0.748057783,59.90000153,0.753515542,0.052852437,0.731845319,0.519313693,0.282738596,0.777927876
Ethiopia,2020,4.549219608,7.739284039,0.823137581,60.29999924,0.768694282,0.186776891,0.783822417,0.614591181,0.251514345,0.720072985
Finland,2019,7.780347824,10.79223537,0.93741554,71,0.947616696,-0.054119188,0.195338428,0.732282341,0.180732876,0.63918817
Finland,2020,7.889349937,10.7614584,0.961620748,71.07499695,0.962423682,-0.118853144,0.163635895,0.74793905,0.192897573,0.808632851
France,2019,6.689644337,10.73678303,0.958348095,72.09999847,0.827240825,-0.135421589,0.568272293,0.692844808,0.250415534,0.381849229
France,2020,6.714111805,10.65285397,0.947354019,72.19999695,0.823386312,-0.172077149,0.564640582,0.68962425,0.23095043,0.410406649
Gabon,2019,4.914393425,9.612189293,0.763051689,57.59999847,0.736349881,-0.204340994,0.84625423,0.638376653,0.412960976,0.354912966
Gabon,2020,4.88654995,9.569471359,0.701217532,57.92499924,0.52837491,-0.192087099,0.788709342,0.567638814,0.41603604,0.337647468
Gambia,2019,5.163627148,7.707471848,0.693870127,57,0.676595271,0.409930617,0.798108101,0.717893243,0.400723279,0.645316124
Georgia,2019,4.89183569,9.615089417,0.674976051,64.69999695,0.81053412,-0.261063099,0.647223175,0.502834857,0.243710026,0.405210346
Georgia,2020,5.123143196,9.546748161,0.71834594,64.82499695,0.764352381,-0.22091116,0.582734704,0.572584391,0.294512063,0.518526018
Germany,2019,7.035472393,10.89543533,0.885667324,70.90000153,0.884751558,0.054287467,0.46225515,0.712461114,0.22617121,0.568460405
Germany,2020,7.311897755,10.84688759,0.905080497,71.09999847,0.864356041,-0.063618965,0.424088776,0.698266089,0.205927119,0.654063106
Ghana,2019,4.96680975,8.619757652,0.746247828,58,0.787447751,0.113771118,0.85666585,0.644655406,0.269940108,0.578076839
Ghana,2020,5.31948328,8.602586746,0.642703354,58.375,0.823720038,0.198195651,0.847024918,0.674681187,0.252728432,0.61885488
Greece,2019,5.952157497,10.29883575,0.890809536,70.90000153,0.613584101,-0.289313048,0.848003805,0.559758365,0.235946462,0.396424621
Greece,2020,5.787615776,10.20487785,0.778536558,71.02500153,0.56461364,-0.242127046,0.764324546,0.629382133,0.321684211,0.397469759
Guatemala,2019,6.262175083,9.065696716,0.774074376,62.29999924,0.90067631,-0.063377336,0.772577941,0.819660842,0.310789257,0.457001328
Guinea,2019,4.76768446,7.850506306,0.655124187,53.29999924,0.691399097,0.096929699,0.755585492,0.669558287,0.473388433,0.579256535
Guinea,2020,4.972168446,7.890141964,0.731928527,53.75,0.598107696,0.078628287,0.790462673,0.706352055,0.34602198,0.326949686
Honduras,2019,5.930051327,8.654548645,0.797148347,63,0.846190035,0.06204813,0.814962924,0.789050698,0.278882086,0.358097196
Hong Kong S.A.R. of China,2019,5.659317017,10.99517918,0.855825663,,0.726852179,0.064956211,0.431973636,0.519312441,0.357607275,0.332539529
Hong Kong S.A.R. of China,2020,5.295341492,10.935853,0.812942982,,0.705452263,-0.072825305,0.380351216,0.521670997,0.210313618,0.442211211
Hungary,2019,6.000259876,10.39064598,0.94651556,67.19999695,0.798041046,-0.196938932,0.883571446,0.652892768,0.180348128,0.483934194
Hungary,2020,6.038049698,10.34495068,0.943400383,67.34999847,0.77096808,-0.123248726,0.836105108,0.661645353,0.24005194,0.428733259
Iceland,2019,7.532504559,10.94967937,0.981824577,72,0.959470093,,0.698707938,0.787222624,0.17770353,0.521377087
Iceland,2020,7.575489521,10.86630154,0.983286083,72.02500153,0.948627174,0.154635549,0.64406389,0.808147848,0.171795145,0.592407286
India,2019,3.24876976,8.811940193,0.560780764,60.29999924,0.875540316,0.111500815,0.751979411,0.560403168,0.466335624,0.78970331
India,2020,4.223865509,8.726764679,0.616411507,60.59999847,0.906415939,0.072429791,0.780127108,0.686477244,0.383293122,0.798643291
Indonesia,2019,5.346512794,9.376869202,0.80191803,62.79999924,0.865859151,0.55411315,0.860784769,0.800203919,0.301702797,0.782263815
Indonesia,2020,4.828147411,9.345304489,0.750896156,62.92499924,0.85332638,0.53391695,0.913812995,0.742214978,0.351377964,0.773202956
Iran,2019,5.006145954,9.424582481,0.698293149,66.30000305,0.623282075,0.14182049,0.728306532,0.524720848,0.448525667,0.521268964
Iran,2020,4.864528179,9.444972992,0.757218659,66.44999695,0.599594474,0.14411211,0.70990169,0.504636586,0.470245004,0.469801754
Iraq,2020,4.78516531,9.106354713,0.707847476,63.17499924,0.700214565,-0.017389014,0.849108756,0.585361362,0.531538904,0.433240741
Ireland,2019,7.254841328,11.36963272,0.943726361,71.09999847,0.892458677,0.070615135,0.372803569,0.758422494,0.223299861,0.581215978
Ireland,2020,7.034930706,11.41448212,0.960311055,71.19999695,0.882098258,0.004125291,0.355632722,0.752608776,0.246447265,0.588148296
Israel,2019,7.331779957,10.61216927,0.946010649,72.40000153,0.834491909,0.08222159,0.742867768,0.597811222,0.265891671,0.495666921
Israel,2020,7.194928169,10.57256699,0.959072173,72.55000305,0.831315815,-0.054193012,0.74763906,0.564403653,0.242825732,0.388938516
Italy,2019,6.445416927,10.66214275,0.83840245,71.90000153,0.709478855,-0.084498353,0.865528047,0.568893611,0.327960074,0.221925855
Italy,2020,6.488356113,10.57144165,0.889824033,71.97499847,0.718155444,-0.152927265,0.844094574,0.613840938,0.311002165,0.374515772
Ivory Coast,2019,5.392012119,8.558825493,0.67938602,54.79999924,0.735711992,-0.01737914,0.799271226,0.663475573,0.425407171,0.609362841
Ivory Coast,2020,5.256503582,8.55281353,0.61310631,55.375,0.769998014,0.015964827,0.776687264,0.655147433,0.33991909,0.549262762
Jamaica,2019,6.309238911,9.187788963,0.877814472,66.59999847,0.890670836,-0.137969255,0.885330021,0.721723378,0.195284143,0.442859173
Jamaica,2020,5.424990654,9.07806778,0.869553685,66.59999847,0.864777803,-0.144103467,0.836413145,0.712002933,0.266417921,0.592266202
Japan,2019,5.908039093,10.64595985,0.877650917,74.09999847,0.806471527,-0.258060485,0.617187858,0.693276763,0.194410384,0.411213636
Japan,2020,6.117963314,10.60242367,0.887249112,74.22499847,0.806036115,-0.262763977,0.608698547,0.680538237,0.186461002,0.423379987
Jordan,2019,4.452548027,9.217453003,0.792559683,67.59999847,0.725755811,-0.167032897,,,,
Jordan,2020,4.093991756,9.191825867,0.708839893,67.59999847,0.778533459,-0.153874189,,,,
Kazakhstan,2019,6.272268295,10.17929173,0.951050103,65,0.852387428,-0.057007015,0.708279192,0.711475492,0.139132932,0.671793461
Kazakhstan,2020,6.168269157,10.1410532,0.966448963,65.40000153,0.872100115,-0.058536395,0.660798848,0.619988978,0.150359914,0.719707191
Kenya,2019,4.618850231,8.40128231,0.675931633,57.70000076,0.817757487,0.307746619,0.794370294,0.727640748,0.250687122,0.683856368
Kenya,2020,4.546584129,8.375597,0.673717618,58.09999847,0.702034473,0.258936435,0.836516023,0.738233685,0.296980411,0.485698014
Kosovo,2019,6.425144196,9.334190369,0.842511177,,0.841189623,0.246103629,0.920297265,0.611600041,0.140792355,0.308195412
Kosovo,2020,6.294414043,9.286884308,0.792374492,,0.879837573,0.30564636,0.90989387,0.592677712,0.201458037,0.247848466
Kuwait,2019,6.106119633,10.81684875,0.841519773,70.09999847,0.867273808,-0.106759109,,0.643222094,0.302876323,
Kyrgyzstan,2019,5.685220718,8.567575455,0.877027869,65.80000305,0.920436263,-0.002909169,0.884539902,0.624949574,0.207229063,0.507123172
Kyrgyzstan,2020,6.249586105,8.45671463,0.902222991,66.32499695,0.934885323,0.105825633,0.931317508,0.672106743,0.257813066,0.493402541
Laos,2019,5.196856022,8.972927094,0.729443908,60.5,0.90615344,0.059676968,0.620233715,0.718399763,0.306144267,
Laos,2020,5.284390926,8.963253975,0.660396278,60.79999924,0.915028214,0.140347019,0.747997701,0.713753402,0.358349264,
Latvia,2019,5.969753742,10.34213352,0.935501277,66.19999695,0.697935104,-0.196540892,0.789227486,0.537305117,0.211630687,0.239407673
Latvia,2020,6.229008675,10.31171131,0.928012192,66.30000305,0.820111692,-0.080638871,0.808821976,0.673573732,0.201582372,0.30678907
Lebanon,2019,4.024219513,9.586286545,0.865968525,66,0.447001487,-0.081765957,0.890415609,0.307577401,0.494499028,0.154975414
Lebanon,2020,2.633752584,9.349094391,0.546599805,66.07499695,0.551600993,-0.121177912,0.883976877,0.352248639,0.481800169,0.124744363
Lesotho,2019,3.5117805,7.857064724,0.789705396,44.20000076,0.716313541,-0.125442445,0.914951444,0.707126319,0.273425519,0.310273737
Liberia,2019,5.121460915,7.29285717,0.71247375,54.90000153,0.705874562,0.049263917,0.828468978,0.644704163,0.389132589,0.553626955
Libya,2019,5.33022213,9.627349854,0.826719344,65.19999695,0.761964321,-0.074144088,0.68641299,0.628867805,0.400737435,
Lithuania,2019,6.064097881,10.52315521,0.917577505,66.69999695,0.780266464,-0.25415498,0.782501221,0.56804961,0.276054353,0.407248467
Lithuania,2020,6.39137888,10.52162838,0.952544093,67.05000305,0.824060559,-0.125377774,0.829204798,0.626345754,0.201912001,0.474045336
Luxembourg,2019,7.404015541,11.66580296,0.912104547,71.59999847,0.930321217,-0.049699824,0.389598429,0.741738081,0.211639807,0.780171037
Madagascar,2019,4.339087486,7.389328003,0.700610101,57.29999924,0.549535215,-0.010633468,0.719982684,0.698719621,0.303959668,0.660091162
Malawi,2019,3.869123697,7.337679863,0.548956096,57.09999847,0.764864206,-0.022271559,0.680247962,0.516828775,0.348162442,0.574215412
Malaysia,2019,5.427954197,10.25489998,0.842498839,65.69999695,0.915778697,0.121085972,0.781943917,0.734578729,0.176071689,0.716807246
Malaysia,2020,6.01419878,10.18383026,0.796895385,65.67500305,0.877859235,0.097786687,0.746997535,0.721455097,0.288135022,0.748145461
Mali,2019,4.98799181,7.75005579,0.754558086,54.59999847,0.67040509,-0.03738777,0.846340001,0.645860672,0.357764512,0.4787485
Mali,2020,4.269473553,7.707913876,0.567915261,55,0.645313561,-0.066762961,0.894637346,0.647650242,0.439628124,0.436267674
Malta,2019,6.73297739,10.69082165,0.921578526,71.5,0.923966825,0.083724603,0.689410567,0.641677618,0.356243938,0.704372525
Malta,2020,6.156822681,10.5769968,0.937920272,71.55000305,0.930600464,0.00153407,0.67462635,0.576041937,0.410913229,0.814707041
Mauritania,2019,4.152619362,8.583729744,0.798101962,59.79999924,0.627505183,-0.104339272,0.742890298,0.686362624,0.259738505,0.311262429
Mauritius,2019,6.241165161,10.03757095,0.913134277,63.90000153,0.893157899,-0.054250784,0.81020081,0.734807193,0.149362728,0.634860456
Mauritius,2020,6.015300274,9.876267433,0.892565966,63.875,0.842598081,-0.031563438,0.771790087,0.699538052,0.138401791,0.543944299
Mexico,2019,6.431945324,9.887219429,0.851685822,65.80000305,0.903384447,-0.142359331,0.808537602,0.802921176,0.251983017,0.495231152
Mexico,2020,5.964221001,9.789891243,0.778816223,65.80000305,0.873346984,-0.1215633,0.778165877,0.744693696,0.29155612,0.459497869
Moldova,2019,5.803450584,9.474741936,0.809167087,64.5,0.783664584,-0.093693949,0.883822501,0.599834442,0.261620939,0.307176173
Moldova,2020,5.811628819,9.419335365,0.874061763,64.90000153,0.859083235,-0.056501709,0.941438973,0.698010981,0.267836064,0.181308538
Mongolia,2019,5.562905312,9.432369232,0.945758104,60.29999924,0.71067518,0.146608993,0.873166919,0.562204599,0.166921392,0.214430362
Mongolia,2020,6.011364937,9.369382858,0.917789161,60.40000153,0.718491018,0.141996533,0.842827678,0.574730396,0.259983033,0.328301549
Montenegro,2019,5.386024952,9.977386475,0.831624925,67,0.694162488,-0.107130788,0.81999737,0.546632111,0.365958124,0.405451059
Montenegro,2020,5.722162724,9.812411308,0.887129486,67.09999847,0.801855087,0.065326646,0.844687104,0.560456812,0.411377817,0.473739833
Morocco,2019,5.056751728,8.927643776,0.534804046,63.70000076,0.756747842,-0.245344505,0.756867409,0.534888625,0.409911573,
Morocco,2020,4.80261755,8.841643333,0.552520096,63.79999924,0.818995237,-0.227222294,0.802740276,0.548124075,0.256431192,
Mozambique,2019,4.932132721,7.156004906,0.742303729,50.40000153,0.869810224,0.073518127,0.681900442,0.587998033,0.384122759,0.794083238
Myanmar,2019,4.43423748,8.463731766,0.762994885,60.90000153,0.899064302,0.566575408,0.681795835,0.638367534,0.285576224,0.850427508
Myanmar,2020,4.431364059,8.488256454,0.795763254,61.22499847,0.824870706,0.474541783,0.646702111,0.699925065,0.289218217,0.850617349
Namibia,2019,4.435811043,9.191423416,0.844592154,56.09999847,0.739034534,-0.176036522,0.879070699,0.643716514,0.256160736,0.559563875
Namibia,2020,4.451010227,9.084163666,0.740570307,56.47499847,0.665681958,-0.1034161,0.810354829,0.652413011,0.247542083,0.587262332
Nepal,2019,5.448724747,8.282169342,0.772273064,61.29999924,0.790347695,0.156366482,0.711842477,0.443902969,0.357100308,0.631985188
Nepal,2020,5.982410431,8.24277401,0.787215233,61.57500076,0.771715939,0.138915062,0.811892331,0.479671746,0.336939007,0.468227863
Netherlands,2019,7.42526865,10.94701099,0.941477478,71.40000153,0.88559252,0.210272476,0.360068113,0.728164434,0.230502278,0.616572261
Netherlands,2020,7.504447937,10.90274906,0.943956137,71.47499847,0.934522629,0.148469806,0.280604511,0.690658092,0.246511325,0.780745983
New Zealand,2019,7.205174446,10.6661129,0.938821197,70.19999695,0.912042379,0.154316828,0.233831227,0.765042603,0.19117637,0.67520082
New Zealand,2020,7.257381916,10.66370201,0.951990783,70.27500153,0.918154597,0.118302144,0.282767951,0.795894742,0.208541051,0.628641069
Nicaragua,2019,6.112545013,8.603676796,0.873863935,65.5,0.882678449,0.028150577,0.62198174,0.790255427,0.337012976,0.514429927
Nicaragua,2020,6.28689003,8.571700096,0.855702758,65.57499695,0.817625225,0.040930137,0.631003439,0.775327206,0.315903068,0.50515604
Niger,2019,5.003544331,7.1101861,0.67695874,55.5,0.83136189,0.026540544,0.728855133,0.79381007,0.304438263,0.730674267
Nigeria,2019,4.266484261,8.543931961,0.734995186,54.40000153,0.746269286,0.022977227,0.873035729,0.698242903,0.229003847,0.399433285
Nigeria,2020,5.502948284,8.500396729,0.739289463,54.72499847,0.713061512,0.097834267,0.912774444,0.737175941,0.315886825,0.309500486
North Cyprus,2019,5.4666152,,0.803294539,,0.792734623,,0.640058875,0.404271185,0.296411127,0.370310217
North Macedonia,2019,5.015485287,9.727529526,0.814638495,66.09999847,0.724710405,0.021708572,0.922597229,0.515054047,0.303605884,0.265988678
North Macedonia,2020,5.053664207,9.676046371,0.750374198,66.30000305,0.787284732,0.130754411,0.877421141,0.541942358,0.365126073,0.324631155
Norway,2019,7.442139626,11.07368851,0.941784024,71.40000153,0.954044461,0.10694553,0.270571798,0.781727433,0.195486501,0.597986996
Norway,2020,7.290032387,11.06011295,0.955979943,71.44999695,0.964561105,0.071051814,0.271083295,0.777274728,0.216033921,0.829234183
Pakistan,2019,4.442717552,8.454833984,0.617295742,56.90000153,0.684675574,0.123248078,0.775998056,0.488940775,0.424240083,0.511037052
Pakistan,2020,4.623969078,8.425652504,0.594273567,57.17499924,0.767367244,0.01433959,0.832585573,0.470246613,0.375722438,
Palestinian Territories,2019,4.48253727,8.716377258,0.832550049,,0.653488278,-0.130438522,0.829282761,0.538072765,0.3996723,0.402749568
Panama,2019,6.085955143,10.3558445,0.885721385,68.69999695,0.882961094,-0.201097786,0.868827522,0.840836167,0.243566602,0.406914115
Paraguay,2019,5.652625561,9.442684174,0.892487168,65.80000305,0.876052618,0.027204527,0.881786108,0.790478528,0.275186718,0.212079674
Paraguay,2020,5.501248837,9.424612045,0.906508625,65.84999847,0.865221083,0.063264892,0.828658342,0.766731083,0.269218802,0.225703374
Peru,2019,5.999381542,9.461386681,0.809075952,69.5,0.814805925,-0.131083593,0.873601913,0.793809652,0.374985486,0.230489925
Peru,2020,4.994379044,9.329087257,0.748887837,69.67500305,0.805973649,-0.090145819,0.911601484,0.736464798,0.481483608,0.170750022
Philippines,2019,6.267745018,9.095459938,0.84509474,62,0.909598589,-0.083605275,0.748442113,0.764526367,0.340569496,0.79500258
Philippines,2020,5.079585075,8.981377602,0.781140387,62.02500153,0.932041705,-0.110693514,0.744283676,0.792735636,0.326889008,0.802727103
Poland,2019,6.24209404,10.40985775,0.878268242,68.69999695,0.882885754,-0.23313646,0.696057379,0.612847447,0.168089688,0.497986019
Poland,2020,6.139455318,10.38451004,0.95317173,68.875,0.767428696,-0.009690654,0.786873639,0.677396119,0.328937918,0.273116618
Portugal,2019,6.095473289,10.46154976,0.876082599,71,0.8823511,-0.236410558,0.915165603,0.675313532,0.299874753,0.43560499
Portugal,2020,5.767792225,10.37147236,0.874990344,71.125,0.91313076,-0.240306079,0.867157161,0.613749206,0.382812679,0.614669442
Romania,2019,6.129942417,10.30478001,0.841905951,66.80000305,0.84754318,-0.223447934,0.954130709,0.604940474,0.243659228,0.160088375
Romania,2020,6.785142422,10.26910686,0.869008839,66.92500305,0.863305271,-0.156541392,0.91769141,0.667786896,0.25570637,0.23219794
Russia,2019,5.440523624,10.21135998,0.910098851,64.19999695,0.714766085,-0.118029267,0.847705066,0.632024169,0.200421557,0.436963826
Russia,2020,5.495288849,10.18325329,0.887020171,64.57499695,0.714466453,-0.074105181,0.823047519,0.620991707,0.189521536,0.477703661
Rwanda,2019,3.268152237,7.70864296,0.489458233,60.20000076,0.868999183,0.064353086,0.167970896,0.716731012,0.417667687,0.98584497
Saudi Arabia,2019,6.561247349,10.75709724,0.911718428,64,0.891086578,-0.149374589,,0.673558295,0.237737328,
Saudi Arabia,2020,6.559588432,10.69937611,0.890255928,64.19999695,0.884220123,-0.112916827,,0.701878786,0.251199067,
Senegal,2019,5.488736629,8.120131493,0.687614083,59.40000153,0.758841753,-0.018155394,0.79567343,0.768190622,0.331925839,0.638033628
Senegal,2020,4.756773472,8.107923508,0.620670676,59.70000076,0.797190309,-0.045522649,0.855092525,0.815910876,0.268333048,0.573285639
Serbia,2019,6.241407394,9.815026283,0.903294265,66.90000153,0.752504587,-0.042076003,0.813141823,0.474295795,0.24213022,0.473505408
Serbia,2020,6.041546345,9.810878754,0.852101862,67.02500153,0.843479872,0.146143466,0.824472487,0.579138815,0.357580274,0.524143338
